,상호,브랜드,"가입비
(가맹비)",교육비,보증금,"기타비용
(인테리어
비용포함)","합계
(창업비용
지수)","인테리어면적당(3.3㎡)
비용","기준면적
(㎡)인테리어",총 비용,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점 평균 매출액 ,가맹점 면적(3.3㎡)당 평균매출액
2017,(주)놀부,레드머그커피,"5,500","5,500","5,000","62,510","78,510
(1.00)","2,420",33,"24,200",12,10,0,0,1,0,0
2017,씨제이푸드빌(주),투썸플레이스,"27,500","1,650","10,000","251,500","290,650
(2.00)","1,844",148,"83,000",749,140,0,24,48,532698,8234
2017,협동조합 인재개발뱅크,인재 36.5도 까페,"5,500","3,300","8,000","88,000","104,800
(1.00)","2,530",50,"37,950",0,0,0,0,0,0,0
2017,(주)탐앤탐스,탐앤탐스커피,"11,000",0,"10,000","196,200","217,200
(2.00)","2,200",99,"66,000",335,27,46,0,35,0,0
2017,(주)버블엔젤,버블엔젤(Bubble Angel),"5,500","3,300","5,000","65,450","79,250
(1.00)","2,750",33,"27,500",0,0,0,0,0,0,0
2017,(주)더본코리아,빽다방,"6,600",0,"5,000","82,200","93,800
(1.00)","3,180",33,"31,800",522,113,0,3,33,281238,21633
2017,알에프홀딩스(주),엘가커피,"12,100","3,300","3,000","173,800","192,200
(2.00)","2,420",132,"96,800",0,0,0,0,0,0,0
2017,(주)키워드브릿지,겟앤쇼카페(Get&Show cafe),"12,100","3,300","5,000","129,800","150,200
(1.00)","2,860",66,"57,200",0,0,1,0,0,0,0
2017,(주)휴링크에프씨,보스 프레소(BOTH PRESSO),"5,500","2,200","3,000","64,900","75,600
(1.00)","2,750",26,"22,000",0,0,0,0,0,0,0
2017,(주)비브라더스,생활커피,"3,300","2,200","2,000","74,844","82,344
(1.00)","1,441",26,"11,528",36,34,0,0,3,138052,10328
2017,(주)카페도헤이,카페도헤이 왕의커피,0,0,0,"46,700","46,700
(.00)","2,120",33,"21,200",6,6,0,0,0,0,0
2017,(주)다다컴퍼니,커피왕,"3,300","2,200",0,"55,635","61,135
(1.00)","2,500",33,"25,000",0,0,0,0,0,0,0
2017,(주)에이치에스피라이프,황칠가 카페,0,0,"5,000","39,820","44,820
(.00)","1,650",33,"16,500",6,3,0,0,0,39696,1825
2017,(주)프롬하츠,프롬하츠(FROM HEARTS),"7,700","1,100","7,000","145,750","161,550
(1.00)","2,200",99,"66,000",1,0,0,0,0,0,0
2017,커피스미스에프씨(주),커피스미스,"11,000",0,"10,000","206,327","227,327
(2.00)","3,025",132,"121,000",48,7,11,0,3,475608,4965
2017,청자다방,청자다방,"1,650","1,650","5,000","62,110","70,410
(1.00)","1,936",33,"19,360",12,8,0,0,0,0,0
2017,레어버드컴퍼니(주),캐틀앤비,"5,500","2,200","5,000","48,070","60,770
(.00)","1,870",33,"18,700",3,0,7,0,0,0,0
2017,롯데지알에스(주),엔제리너스(Angel-in-us Coffee),"11,000",770,"30,000","239,360","281,130
(2.00)","2,475",132,"99,000",744,34,12,91,96,307537,6100
2017,(주)이에이티,카페잇,"8,800","2,200","3,000","52,415","66,415
(1.00)","2,420",26,"19,360",2,0,3,0,0,0,0
2017,주식회사 라플란드,여자커피,"5,500",990,"2,000","31,900","40,390
(.00)","1,625",26,"13,000",4,4,0,0,0,0,0
2017,카페인중독(가맹본부),카페인중독,"3,000","1,000","1,000","43,500","48,500
(.00)","3,300",33,"33,000",0,0,0,0,0,0,0
2017,(유)에브라임이노베이션,카페게이트,"12,100",0,0,"50,380","62,480
(1.00)","2,681",26,"21,450",10,2,0,0,0,273122,24170
2017,(주)육십오도씨,싼다방,"3,850","1,650","3,000","55,660","64,160
(1.00)","1,650",33,"16,500",1,0,0,0,0,0,0
2017,(주)육십오도씨,카페육십오도씨,"2,200","2,200","1,000","53,020","58,420
(.00)","1,760",33,"17,600",10,1,0,1,0,153047,5032
2017,사과나무(주),커피베이,"5,500","3,300","5,000","43,340","57,140
(.00)","1,650",26,"13,200",428,77,41,23,11,104654,5414
2017,(주)만랩,만랩커피,"5,500","2,200","3,000","46,066","56,766
(.00)","2,090",26,"16,720",9,9,0,0,0,138922,11218
2017,㈜메이크어베러(Make a better),에이바우트커피,"70,000","30,000",0,"364,000","464,000
(4.00)","2,750",264,"220,000",0,0,0,0,0,0,0
2017,커피집,아멜라떼,"5,500","3,300","2,000","66,000","76,800
(1.00)","2,200",33,"22,000",0,0,0,0,0,0,0
2017,(주)러빈허,러빈허 플라워카페,"22,000","11,000","5,000","104,500","142,500
(1.00)","2,200",99,"66,000",0,0,0,0,0,0,0
2017,(주)커피만컴퍼니,커피만,"5,500","5,500","2,000","63,250","76,250
(1.00)","23,100",33,"2,310",17,18,0,1,0,132239,13637
2017,(주)편안,카페아이엠티,"3,300","2,200","3,000","80,300","88,800
(1.00)","2,420",50,"36,300",31,9,0,5,0,221256,11446
2017,(주)경성글로벌,경성코페,"11,000","2,200","3,000","209,550","225,750
(2.00)","2,750",132,"110,000",0,0,0,0,0,0,0
2017,(주)릴렉스코리아,힐링초이스(healing choice),"5,500","2,200",0,"113,850","121,550
(1.00)","1,650",99,"49,500",0,0,0,0,0,0,0
2017,(주)더모나코그룹,CAFE THE MONACO,"11,000","1,650","5,000","95,370","113,020
(1.00)","2,200",66,"44,000",0,0,0,0,0,0,0
2017,(주)브라더푸드,줄리앙 와플,"5,500","2,200","3,000","49,000","59,700
(.00)","2,500",33,"25,000",23,23,0,0,0,110277,11440
2017,글로매스(GLOMASS),커피디엔에이로스팅컴퍼니,"22,000","9,900","10,000","154,550","196,450
(2.00)","4,070",33,"40,700",4,2,0,0,0,0,0
2017,서컴퍼니,부바스,"11,000","8,800","10,000","268,400","298,200
(2.00)","2,420",231,"169,400",9,3,0,4,0,562043,6606
2017,(주)더드림홀딩스,카페드림,"11,000",0,"5,000","130,900","146,900
(1.00)","2,200",99,"66,000",5,0,5,0,0,0,0
2017,와타빈,와타빈(WATABEAN),"5,500","5,500","5,000","69,850","85,850
(1.00)","2,200",50,"33,000",5,0,0,1,0,0,0
2017,프런치코리아,카페프런치,"5,500","2,200","3,000","66,950","77,650
(1.00)","1,496",82,"37,400",6,1,0,3,0,166473,3442
2017,카페앤스터프 체인본부,카페앤스터프,"5,500","3,300","4,000","90,750","103,550
(1.00)","2,420",50,"36,300",7,1,0,0,1,132089,2006
2017,코코카페,코코카페,"11,000","2,200","3,000","75,570","91,770
(1.00)","2,200",66,"44,000",0,0,0,0,0,0,0
2017,(주)에슬로우,에슬로우커피(ESLOW COFFEE),"3,300","1,100","3,000","42,900","50,300
(.00)","2,200",33,"22,000",13,4,0,0,0,136081,11248
2017,(주)달콤,달콤,"3,300","7,700","10,000","194,700","215,700
(2.00)","2,585",132,"103,400",110,46,0,11,9,317451,4652
2017,카페인뉴욕,cafeinnewyork,"5,500","1,650","3,000","56,100","66,250
(1.00)","2,090",33,"20,900",0,0,0,0,0,0,0
2017,알리바바파트너스(주),알리바바카페앤도넛,"5,500","3,300","3,000","62,700","74,500
(1.00)","1,650",66,"33,000",11,11,0,0,0,0,0
2017,꿀's 커피(GGUL'S COFFE),GGUL'S COFFE,"5,000","3,000","3,000",0,"11,000
(.00)","2,875",26,"23,000",0,0,0,0,0,0,0
2017,(주)에쓰앤씨,라스베이글,"11,000","3,300","5,000","69,850","89,150
(1.00)","2,090",50,"31,350",4,3,0,0,1,0,0
2017,하이퀄리티 커피아카데미 앤 로스터스,cafe051,"2,750","2,200","3,000","47,300","55,250
(.00)","1,980",33,"19,800",0,0,0,1,0,0,0
2017,베러먼데이(BETTER MONDAY),베러먼데이,"5,500","2,750","5,000","68,860","82,110
(1.00)","2,200",50,"33,000",2,2,0,0,0,0,0
2017,(주)카페베네,카페베네,"7,700","3,300","5,000","199,460","215,460
(2.00)","1,760",132,"70,400",681,44,0,184,71,249550,10689
2017,(주)비토코리아,슬립리스 인 시애틀,"11,000",0,"5,000","196,000","212,000
(2.00)","2,000",198,"120,000",15,2,2,1,1,0,0
2017,전광수커피랩,전광수커피,"5,500","5,500","3,000","172,500","186,500
(2.00)","3,300",99,"99,000",17,17,0,0,0,141193,3351
2017,데니스,데니스,"3,300",550,"3,000","36,000","42,850
(.00)","1,650",33,"16,500",22,2,0,4,2,153714,8193
2017,(주)라파미코,닐리스커피(Nilli's Coffee),"5,500","3,300","5,000","192,500","206,300
(2.00)","2,090",165,"104,500",5,3,0,0,0,208458,12197
2017,(주)델리뉴스,델리뉴스,"5,500","1,500","2,000","47,500","56,500
(.00)","2,300",33,"23,000",7,0,0,1,2,179573,13813
2017,(주)보노코리아,카페보노,"11,000","2,200","5,000","221,100","239,300
(2.00)","2,596",165,"129,800",27,3,0,5,1,193881,2378
2017,(주)두박,카페데코믹스(CAFE de COMICS),"11,000","3,300","4,000","93,500","111,800
(1.00)","1,540",99,"46,200",3,3,0,0,0,0,0
2017,(주)언노운핸즈,언노운커피,"4,400","1,100",0,"55,800","61,300
(1.00)","3,833",20,"23,000",10,2,1,1,0,129173,17225
2017,(주)앤하우스,메가엠지씨커피(MEGA MGC COFFEE),"8,800",0,"2,000","49,390","60,190
(.00)","1,856",26,"14,850",40,40,0,0,0,253953,16030
2017,(주)할리스에프앤비,할리스커피,"6,600","4,400","10,000","160,900","181,900
(1.00)","2,500",99,"75,000",385,71,12,35,20,374116,7855
2017,(주)할리스에프앤비,디초콜릿커피앤드,"6,600","4,400","5,000","98,830","114,830
(1.00)","2,200",50,"33,000",17,5,0,4,0,183563,11320
2017,(주)루앤비,플랫폼엘(Platform L),"5,500","4,400","5,000","70,070","84,970
(1.00)","2,200",50,"33,000",2,0,0,1,0,0,0
2017,(주)루앤비,카페루앤비,"5,500","3,300","3,000","43,450","55,250
(.00)","1,980",26,"15,840",95,48,0,14,3,66709,5848
2017,(주)할리스에프앤비,디초콜릿커피,"16,500","5,500","10,000","204,600","236,600
(2.00)","2,695",132,"107,800",30,1,1,8,3,190115,8978
2017,(주)가배두림,가배두림,"22,990",0,"5,000","74,800","102,790
(1.00)","1,870",66,"37,400",15,1,0,6,0,324486,14092
2017,(주)씨앤브이인터내셔널,말리커피,"5,500","5,500","10,000","233,200","254,200
(2.00)","1,760",132,"70,400",4,1,0,3,1,23856,597
2017,레이지모닝,레이지모닝,"22,000","11,000","2,000","173,300","208,300
(2.00)","1,650",165,"82,500",0,0,0,0,0,0,0
2017,(주)크레이저커피그룹,크레이저커피(C.Razer Coffee),"8,250","3,300","2,000","61,050","74,600
(1.00)","2,200",50,"33,000",8,1,0,2,0,82803,6369
2017,루밍아이리스,카페 루밍아이리스,"2,200","3,300","3,000","125,950","134,450
(1.00)","1,650",165,"82,500",16,0,0,1,0,0,0
2017,(주)에스엔인더스트리,복고다방,"7,700","3,300","2,000","45,100","58,100
(.00)","1,994",26,"15,950",37,21,6,2,2,70084,7694
2017,매스컴퍼니(주),매스커피,"11,000","2,200","5,000","112,340","130,540
(1.00)","3,021",66,"60,420",23,3,0,1,0,254201,14344
2017,(주)커피더캠프,커피더캠프,"11,000","1,650","8,000","74,272","94,922
(1.00)","1,870",50,"28,050",10,10,0,0,0,0,0
2017,(주)쥬노에프엔씨,카페네스카페,"11,000","1,100","3,000","154,750","169,850
(1.00)","2,750",116,"96,250",62,0,0,24,0,0,0
2017,카페일루이스(주),카페일루이스,"12,980","11,000",0,"194,056","218,036
(2.00)","3,000",132,"120,000",46,5,9,1,0,0,0
2017,(주)티엠홀딩스,제퍼커피(ZEPHYR COFFEE),"7,700","2,200","2,000","56,100","68,000
(1.00)","2,750",33,"27,500",19,4,0,3,0,62166,4782
2017,(주)리빈코리아,카페리빈,"4,400","3,300","5,000","66,550","79,250
(1.00)","1,980",66,"39,600",14,6,0,1,0,153124,11912
2017,(주)엘에이치지,라떼떼커피,"11,000","3,300","5,000","8,360","27,660
(.00)",198,50,"2,970",15,8,1,0,0,0,0
2017,(주)이랜드파크,더카페,"5,500","1,100","5,000","58,000","69,600
(1.00)","2,000",50,"30,000",192,17,0,13,16,133650,10321
2017,코코부코,코코부코,"5,500",330,"3,000","41,262","50,092
(.00)","2,442",33,"24,420",6,7,0,1,0,0,0
2017,(주)에이치엔씨아이,커피스탑,"50,000","20,000","50,000","130,100","250,100
(2.00)","5,500",33,"55,000",0,0,0,0,0,0,0
2017,(주)이랜드파크,루고,"11,000",770,"5,000","127,000","143,770
(1.00)","2,571",116,"90,000",3,1,0,0,0,260028,4643
2017,(주)이랜드파크,포인포카페,"10,000",770,"5,000","115,500","131,270
(1.00)","8,000",33,"80,000",5,0,0,0,1,126308,7994
2017,(주)제이에스앤씨,죠샌드위치앤커피,"9,900","2,750","3,000","64,350","80,000
(1.00)","2,530",33,"25,300",48,5,0,12,6,143477,8566
2017,(주)루머팡,루머팡,"4,400","1,100","5,000","47,500","58,000
(.00)","1,500",50,"22,500",25,0,11,0,0,0,0
2017,대현패밀리(주),퀸즈브라운,"7,700","3,300","5,000","86,100","102,100
(1.00)","2,493",50,"37,400",17,14,0,0,0,158092,6847
2017,블루빈컴퍼니(주),라떼킹(latteking),"5,500","5,500","3,000","126,500","140,500
(1.00)","2,530",82,"63,250",30,3,0,3,2,126378,7914
2017,(주)쿠카쿠,쿠카쿠,"3,300","5,500","10,000","88,000","106,800
(1.00)","1,980",99,"59,400",0,0,0,0,0,0,0
2017,(주)나인어클락,나인어클락커피,"3,850","1,650","2,000","85,800","93,300
(1.00)","2,750",66,"55,000",8,4,0,0,0,153068,4265
2017,(주)글로리아진스커피코리아,글로리아진스커피,"12,579",0,"10,000","197,000","219,579
(2.00)","2,750",132,"110,000",9,1,0,0,0,118716,4770
2017,(주)에스앤큐플러스,토프레소,"3,300","3,300","2,000","55,470","64,070
(1.00)","2,475",26,"19,800",256,33,0,34,28,100445,6635
2017,(주)커피에반하다,커피에반하다,0,0,0,"55,660","55,660
(.00)","2,000",33,"20,000",370,104,0,16,35,76024,5427
2017,(주)올어바웃,올어바웃커피,"5,500","5,500",0,"140,800","151,800
(1.00)","2,750",82,"68,750",0,0,0,0,0,0,0
2017,(주)올어바웃,올어바웃카페,"5,500","5,500","10,000","222,200","243,200
(2.00)","2,750",132,"110,000",4,0,1,0,0,0,0
2017,(주)제이엔지이에이,존화이트(JOHN WHITE),"7,700","3,300","5,000","114,400","130,400
(1.00)","2,530",66,"50,600",0,0,0,0,0,0,0
2017,에스프레소코리아(주),카페보니또,"11,000","3,300","5,000","112,970","132,270
(1.00)","1,980",99,"59,400",37,6,0,1,0,0,0
2017,(주)브라우니웍스,브라우니70,"16,500","5,500","10,000","308,450","340,450
(3.00)","2,750",165,"137,500",15,3,0,1,1,474735,9310
2017,호이스홈커피본점,호이스홈커피,"3,300","2,200","2,000","40,623","48,123
(.00)",440,165,"22,000",0,0,0,0,0,0,0
2017,까페이탈리아코리아(주),까페이탈리아,"5,500","1,100","5,000","29,260","40,860
(.00)","1,650",50,"24,750",7,7,0,0,0,114640,6541
2017,티톡,티톡(teatalk),"5,500","5,500","5,000","84,700","100,700
(1.00)","1,540",99,"46,200",5,0,0,0,0,0,0
2017,연두커피인터내셔날(주),드립앤더치,"6,600","4,400","10,000","232,430","253,430
(2.00)","2,695",132,"107,800",6,1,0,1,0,644281,28848
2017,(주)커피니,커피니(COFFEENIE),"3,300","2,200","3,000","99,400","107,900
(1.00)","3,300",66,"66,000",117,32,0,14,10,160258,5158
2017,(주)카페원플러스원,일리터커피(1LiTER COFFEE),"3,300","1,650","3,000","54,560","62,510
(1.00)","1,870",33,"18,700",12,5,0,1,1,126956,5999
2017,(주)카페원플러스원,카페원플러스원,"7,700","1,100","3,000","75,960","87,760
(1.00)","1,870",66,"37,400",54,8,1,12,2,125010,4264
2017,(주)알에이치에프앤비,포트커피(PORT COFFEE),"6,600","3,300","3,000","40,370","53,270
(.00)","1,815",26,"14,520",29,5,0,1,0,100879,7798
2017,(주)푸디아,커피인코나,"8,800","2,200","2,000","59,400","72,400
(1.00)","2,200",50,"33,000",5,0,3,0,0,76000,4042
2017,(주)커피식구인터내셔널,매드포커피(MAD 4 COFFEE),"25,300","3,300","5,000","56,100","89,700
(1.00)","1,980",33,"19,800",4,4,0,0,0,0,0
2017,라드커피,라드커피(LAD COFFEE),"5,500","2,200",0,"228,100","235,800
(2.00)","2,750",132,"110,000",10,5,0,1,0,355691,5525
2017,(주)늘푸른이야기,카작,"11,000","2,200","3,000","110,000","126,200
(1.00)","1,100",99,"33,000",13,3,0,2,0,45941,937
2017,(주)디자인포비,"지브릭커피(G,BRICK COFFEE)","7,700","5,500","3,000","70,551","86,751
(1.00)","1,980",66,"39,600",3,0,0,1,0,0,0
2017,(주)이든에프앤비,마피아커피(MAFIA COFFEE),"5,500","3,300","5,000","56,100","69,900
(1.00)","1,980",50,"29,700",12,12,0,2,0,88660,14344
2017,(주)여울디자인,커피작(COFFEE ZAK),"5,500","5,500",0,"63,490","74,490
(1.00)","1,980",50,"29,700",0,0,0,0,0,0,0
2017,(재)행복한나눔,비마이프렌드,"3,300","2,200","2,000","58,300","65,800
(1.00)","2,200",50,"33,000",2,0,0,0,0,0,0
2017,(주)풍전에프앤비,그라찌에,"5,500","2,200","5,000","55,000","67,700
(1.00)","2,200",33,"22,000",86,6,15,0,8,114507,5074
2017,(주)카페데베르,카페데베르,"11,000",0,"10,000","187,000","208,000
(2.00)","2,860",132,"114,400",3,0,0,0,0,0,0
2017,(주)도노텀블,도노텀블,"5,500","2,200","5,000","53,570","66,270
(1.00)","1,980",33,"19,800",10,8,0,2,0,0,0
2017,(주)한국창업경제연구소,아마떼,"7,700","1,100",0,"90,420","99,220
(1.00)","1,650",99,"49,500",32,8,0,11,3,101946,3559
2017,에이비씨커피,ABC커피,"3,300","2,200","2,000","55,220","62,720
(1.00)","2,860",33,"28,600",8,6,0,0,3,0,0
2017,(주)한경기획,청년다방,"5,500","3,300","3,000","47,850","59,650
(.00)","1,650",50,"24,750",80,71,0,2,4,396946,17174
2017,인버스에프앤비(주),카페인버스,"5,500","2,200","10,000","185,200","202,900
(2.00)","3,390",116,"118,650",5,3,0,1,1,74669,1758
2017,(주)영원글로벌,카스트로폴로스,"3,300","2,200","3,000","85,100","93,600
(1.00)","1,964",66,"39,270",0,0,0,0,0,0,0
2017,(주)더,더리터(THE LITER),"5,500","3,300",0,"65,940","74,740
(1.00)","2,090",33,"20,900",76,56,0,0,0,200670,16239
2017,(주)큐로에프앤비,일리 카페 (illy caffe),"11,000","5,500","5,000","228,840","250,340
(2.00)","4,395",99,"131,860",12,1,1,0,0,275421,11639
